z mean_ellF mean_ellI mean_leisure pct_formal_time pct_informal_time pct_leisure_time share_formal_worked share_informal_worked pct_formal_worked pct_informal_worked
0.2294214111 0.1111680117 0.1714845548 0.7173474334 11.116801 17.148455 71.734743 0.3933026792 0.6066973208 39.330268 60.669732
0.2813703971 0.1203300588 0.1749609539 0.7047089872 12.033006 17.496095 70.470899 0.4074965157 0.5925034843 40.749652 59.250348
0.3450824402 0.1291824007 0.1775190828 0.6932985166 12.918240 17.751908 69.329852 0.4211991388 0.5788008612 42.119914 57.880086
0.4232211056 0.1379171619 0.1794852150 0.6825976231 13.791716 17.948521 68.259762 0.4345183652 0.5654816348 43.451837 56.548163
0.5190530822 0.1466006132 0.1809743184 0.6724250684 14.660061 18.097432 67.242507 0.4475330651 0.5524669349 44.753307 55.246693
0.6365847511 0.1552110839 0.1819836334 0.6628052827 15.521108 18.198363 66.280528 0.4603010543 0.5396989457 46.030105 53.969895
0.7807296772 0.1636413474 0.1824226422 0.6539360104 16.364135 18.242264 65.393601 0.4728644190 0.5271355810 47.286442 52.713558
0.9575140275 0.1713995581 0.1818171757 0.6467832662 17.139956 18.181718 64.678327 0.4852532218 0.5147467782 48.525322 51.474678
1.1743285028 0.1781395099 0.1799383886 0.6419221015 17.813951 17.993839 64.192210 0.4974881461 0.5025118539 49.748815 50.251185
1.4402373153 0.1827908076 0.1759162438 0.6412929486 18.279081 17.591624 64.129295 0.5095824209 0.4904175791 50.958242 49.041758
1.7663571306 0.1852254385 0.1699233293 0.6448512322 18.522544 16.992333 64.485123 0.5215432384 0.4784567616 52.154324 47.845676
2.1663218134 0.1855916712 0.1623669618 0.6520413670 18.559167 16.236696 65.204137 0.5333728024 0.4666271976 53.337280 46.662720
2.6568524100 0.1844597935 0.1539556375 0.6615845691 18.445979 15.395564 66.158457 0.5450690974 0.4549309026 54.506910 45.493090
3.2584561929 0.1833281298 0.1460276425 0.6706442276 18.332813 14.602764 67.064423 0.5566264362 0.4433735638 55.662644 44.337356
